matnr;mtart;mtbez;pstat;lvorm;matkl;wgbez;meins
000000000004000240;ROH;원자재;KDELBVQGC;;P702;1차 가공품;KG
000000000004000241;ROH;원자재;KDELBVQGC;;P701;일반물;KG
000000000004000242;ROH;원자재;KDELBVQGC;;P703;유독물;KG
000000000004000243;ROH;원자재;KDELBVQGC;;P703;유독물;KG
000000000004000245;ROH;원자재;KDELBVQGC;;P701;일반물;KG
000000000004000246;ROH;원자재;KDELBVQGC;;P702;1차 가공품;KG
000000000004000247;ROH;원자재;KDELBVQGC;;P702;1차 가공품;KG
000000000004000249;ROH;원자재;KDELBVQGC;;P701;일반물;KG
000000000004000250;ROH;원자재;KDELBVQGC;;P701;일반물;KG
000000000004000251;ROH;원자재;KDELBVQGC;;P701;일반물;KG
000000000004300001;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300002;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300003;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300005;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300007;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300010;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300011;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300012;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300016;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300019;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300020;ZROH;재생원료;KDELBVQGC;;P702;1차 가공품;KG
000000000004300021;ZROH;재생원료;KDELBVQGC;;P703;유독물;KG
000000000004400001;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400002;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400003;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400004;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400005;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400006;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400007;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400008;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400009;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400010;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400011;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400012;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400013;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400014;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400015;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400016;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400019;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400020;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400021;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000004400023;YROH;폐액;KDELBVQG;;P702;1차 가공품;KG
000000000005000000;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000001;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000002;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000003;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000004;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000005;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000006;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000007;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000008;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000009;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000010;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000011;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000012;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000014;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000018;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005000020;VERP;포장재;KDELBVQG;;P999;기타;EA
000000000005200000;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200001;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200002;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200003;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200004;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200005;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200006;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200007;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200008;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200009;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200010;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200011;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200012;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200013;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200014;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200015;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200016;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200017;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200018;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200019;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200020;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200021;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200028;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200029;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200030;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200031;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200032;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200033;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200035;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200036;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200037;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200038;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000005200044;HIBE;소모저장품;KDELBQG;;P999;기타;EA
000000000006000001;UNBW;비평가자재;KDELQ;;P701;일반물;KG
000000000006000002;UNBW;비평가자재;KDELQ;;P701;일반물;KG
000000000006000003;UNBW;비평가자재;KDELQC;;P701;일반물;KG
000000000006000004;UNBW;비평가자재;KDELQC;;P701;일반물;KG
000000000006000005;UNBW;비평가자재;KDELQ;;P702;1차 가공품;KG
