matnr;werks;pstat;lvorm;mmsta;dispo;dsnam
000000000004000241;E110;DELBVQG;;;411;Fine 盔磊犁
000000000004000242;E110;DELBVQG;;;411;Fine 盔磊犁
000000000004000243;E110;DELBVQG;;;411;Fine 盔磊犁
000000000004000245;E110;DELBVQG;;;411;Fine 盔磊犁
000000000004000246;E110;DELBVQG;;;411;Fine 盔磊犁
000000000004000247;E110;DELBVQG;;;411;Fine 盔磊犁
000000000004000249;E110;DELBVQG;;;421;Process 盔磊犁
000000000004000250;E110;DELBVQG;;;421;Process 盔磊犁
000000000004000251;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300001;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300002;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300003;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300005;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300007;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300010;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300011;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300012;E110;DELBVQG;;NW;421;Process 盔磊犁
000000000004300016;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300019;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300020;E110;DELBVQG;;;421;Process 盔磊犁
000000000004300021;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400001;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400002;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400003;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400004;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400005;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400006;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400007;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400008;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400009;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400010;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400011;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400012;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400013;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400014;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400015;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400016;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400019;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400020;E110;DELBVQG;;NW;421;Process 盔磊犁
000000000004400021;E110;DELBVQG;;;421;Process 盔磊犁
000000000004400023;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000000;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000001;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000002;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000003;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000004;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000005;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000006;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000007;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000008;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000009;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000010;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000011;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000012;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000014;E110;VEDBG;;NW;;
000000000005000018;E110;DELBVQG;;;421;Process 盔磊犁
000000000005000020;E110;DELBVQG;;;421;Process 盔磊犁
000000000005200000;E110;DELBQG;;;;
000000000005200001;E110;DELBQG;;;;
000000000005200002;E110;DELBQG;;;;
000000000005200003;E110;DELBQG;;;;
000000000005200004;E110;DELBQG;;;;
000000000005200005;E110;DELBQG;;;;
000000000005200006;E110;DELBQG;;;;
000000000005200007;E110;DELBQG;;;;
000000000005200008;E110;DELBQG;;;;
000000000005200009;E110;DELBQG;;;;
000000000005200010;E110;DELBQG;;;;
000000000005200011;E110;DELBQG;;;;
000000000005200012;E110;DELBQG;;;;
000000000005200013;E110;DELBQG;;;;
000000000005200014;E110;DELBQG;;;;
000000000005200015;E110;DELBQG;;;;
000000000005200016;E110;DELBQG;;;;
000000000005200017;E110;DELBQG;;;;
000000000005200018;E110;DELBQG;;;;
000000000005200019;E110;DELBQG;;;;
000000000005200020;E110;DELBQG;;;;
000000000005200021;E110;DELBQG;;;;
000000000005200028;E110;DELBQG;;;;
000000000005200029;E110;DELBQG;;;;
000000000005200030;E110;DELBQG;;;;
000000000005200031;E110;DELBQG;;;;
000000000005200032;E110;DELBQG;;;;
000000000005200033;E110;DELBQG;;;;
000000000005200035;E110;DELBQG;;;;
000000000005200036;E110;DELBQG;;;;
000000000005200037;E110;DELBQG;;;;
000000000005200038;E110;DELBQG;;;;
000000000005200044;E110;DELBQG;;;;
000000000006000001;E110;DELQ;;;;
000000000006000002;E110;DELQ;;;;
000000000006000003;E110;DELQ;;;;
000000000006000004;E110;DELQ;;;;
000000000006000005;E110;DELQ;;MQ;;
