mblnr;mjahr;zeile;bwart;matnr;werks;lgort;sobkz;shkzg;bwtar;menge;meins;bustm;ummat;umwrk;umlgo
4900563965;2019;2;321;000000000001000061;E110;1300;;S;;3500;KG;MQF7;000000000001000061;E110;1300
4900563970;2019;1;321;000000000001000042;E110;1300;;H;;7400;KG;MQF7;000000000001000042;E110;1300
4900563970;2019;2;321;000000000001000042;E110;1300;;S;;7400;KG;MQF7;000000000001000042;E110;1300
4900563974;2019;1;321;000000000001000063;E110;1300;;H;;8400;KG;MQF7;000000000001000063;E110;1300
4900563974;2019;2;321;000000000001000063;E110;1300;;S;;8400;KG;MQF7;000000000001000063;E110;1300
4900563975;2019;1;321;000000000001000188;E110;1300;;H;;11100;KG;MQF7;000000000001000188;E110;1300
4900563975;2019;2;321;000000000001000188;E110;1300;;S;;11100;KG;MQF7;000000000001000188;E110;1300
4900563976;2019;1;321;000000000001000003;E110;1300;;H;;4680;KG;MQF7;000000000001000003;E110;1300
4900563976;2019;2;321;000000000001000003;E110;1300;;S;;4680;KG;MQF7;000000000001000003;E110;1300
4900563980;2019;1;261;000000000004000189;E110;1100;;H;;68;KG;MA01;;;
4900563981;2019;1;261;000000000003000009;E110;1550;;H;;14800;KG;MA01;;;
4900563981;2019;2;261;000000000005000000;E110;1100;;H;;80;EA;MA01;;;
4900563982;2019;1;261;000000000003000009;E110;1550;;H;;3700;KG;MA01;;;
4900563983;2019;1;261;000000000003000009;E110;1550;;H;;7400;KG;MA01;;;
4900563984;2019;1;261;000000000003000009;E110;1550;;H;;7400;KG;MA01;;;
4900563985;2019;1;261;000000000004000189;E110;1100;;H;;861.696;KG;MA01;;;
4900563986;2019;1;261;000000000004000118;E110;1210;;H;;3500;KG;MA01;;;
4900563987;2019;1;261;000000000003000012;E110;1470;;H;;8400;KG;MA01;;;
4900563988;2019;1;261;000000000004300001;E110;1250;;H;;15494.31;KG;MA01;;;
4900563988;2019;2;261;000000000001000018;E110;1860;;H;;9.69;KG;MA01;;;
4900563988;2019;3;261;000000000001000018;E110;1860;;H;;484.5;KG;MA01;;;
4900563989;2019;1;261;000000000003000010;E110;1410;;H;;16239.6;KG;MA01;;;
4900563994;2019;1;631;000000000002000026;E110;2300;;H;;30;KG;MAV4;000000000002000026;E110;
4900563994;2019;2;631;000000000002000026;E110;;W;S;;30;KG;MAV4;000000000002000026;E110;2300
4900563995;2019;1;321;000000000004000189;E110;1100;;H;;1200;KG;MQF7;000000000004000189;E110;1100
4900563995;2019;2;321;000000000004000189;E110;1100;;S;;1200;KG;MQF7;000000000004000189;E110;1100
4900564000;2019;1;261;000000000003000009;E110;1550;;H;;11100;KG;MA01;;;
4900564001;2019;1;261;000000000004000118;E110;1210;;H;;882;KG;MA01;;;
4900564002;2019;1;261;000000000003000004;E110;1430;;H;;1050;KG;MA01;;;
4900564003;2019;1;261;000000000004000118;E110;1210;;H;;1764;KG;MA01;;;
4900564004;2019;1;261;000000000004000104;E110;1100;;H;;959;KG;MA01;;;
4900564004;2019;2;261;000000000004000057;E110;1100;;H;;2286;KG;MA01;;;
4900564004;2019;3;261;000000000003000013;E110;1500;;H;;1456;KG;MA01;;;
4900564005;2019;1;261;000000000006000001;E110;1100;;H;;7454.4;KG;MA01;;;
4900564005;2019;2;261;000000000004000167;E110;1100;;H;;995;KG;MA01;;;
4900564005;2019;3;261;000000000004000151;E110;1100;;H;;2.5;KG;MA01;;;
4900564005;2019;4;261;000000000003000012;E110;1480;;H;;1710.849;KG;MA01;;;
4900564006;2019;1;311;000000000004000130;E110;1260;;H;;13316;KG;MA07;000000000004000130;E110;1260
4900564006;2019;2;311;000000000004000130;E110;1260;;S;;13316;KG;MA07;000000000004000130;E110;1260
4900564007;2019;1;261;000000000004000130;E110;1260;;H;;13316;KG;MA01;;;
4900564007;2019;2;261;000000000004000191;E110;1200;;H;;31060;KG;MA01;;;
4900564007;2019;3;261;000000000003000009;E110;1550;;H;;8752;KG;MA01;;;
4900564009;2019;1;631;000000000001000125;E110;1300;;H;;3700;KG;MAV4;000000000001000125;E110;
4900564009;2019;2;631;000000000001000125;E110;;W;S;;3700;KG;MAV4;000000000001000125;E110;1300
4900564034;2019;1;321;000000000004000191;E110;1200;;H;;23990;KG;MQF7;000000000004000191;E110;1200
4900564034;2019;2;321;000000000004000191;E110;1200;;S;;23990;KG;MQF7;000000000004000191;E110;1200
4900564035;2019;1;321;000000000004000191;E110;1200;;H;;20370;KG;MQF7;000000000004000191;E110;1200
4900564035;2019;2;321;000000000004000191;E110;1200;;S;;20370;KG;MQF7;000000000004000191;E110;1200
4900564036;2019;1;321;000000000004000130;E110;1260;;H;;20420;KG;MQF7;000000000004000130;E110;1260
4900564036;2019;2;321;000000000004000130;E110;1260;;S;;20420;KG;MQF7;000000000004000130;E110;1260
4900564044;2019;1;933;000000000001000039;E110;9680;;H;;14800;KG;MA01;;;
4900564045;2019;1;933;000000000001000039;E110;9680;;H;;14800;KG;MA01;;;
4900564046;2019;1;933;000000000001000039;E110;9680;;H;;14800;KG;MA01;;;
4900564051;2019;1;321;000000000004000129;E110;1250;;H;;20000;KG;MQF7;000000000004000129;E110;1250
4900564051;2019;2;321;000000000004000129;E110;1250;;S;;20000;KG;MQF7;000000000004000129;E110;1250
4900564052;2019;1;321;000000000004300010;E110;1100;;H;;20050;KG;MQF7;000000000004300010;E110;1100
4900564052;2019;2;321;000000000004300010;E110;1100;;S;;20050;KG;MQF7;000000000004300010;E110;1100
4900564067;2019;1;631;000000000002000081;E110;1100;;H;;6190;KG;MAV4;000000000002000081;E110;
4900564067;2019;2;631;000000000002000081;E110;;W;S;;6190;KG;MAV4;000000000002000081;E110;1100
4900564068;2019;1;631;000000000002000081;E110;1100;;H;;10990;KG;MAV4;000000000002000081;E110;
4900564068;2019;2;631;000000000002000081;E110;;W;S;;10990;KG;MAV4;000000000002000081;E110;1100
4900564072;2019;1;321;000000000001000014;E110;1300;;H;;2000;KG;MQF7;000000000001000014;E110;1300
4900564072;2019;2;321;000000000001000014;E110;1300;;S;;2000;KG;MQF7;000000000001000014;E110;1300
4900564077;2019;1;933;000000000001000098;E110;2300;;H;;15;KG;MA01;;;
4900564080;2019;1;321;000000000004000118;E110;1210;;H;;50000;KG;MQF7;000000000004000118;E110;1210
4900564080;2019;2;321;000000000004000118;E110;1210;;S;;50000;KG;MQF7;000000000004000118;E110;1210
4900564082;2019;1;311;000000000003000392;E110;2300;;H;;305.3;KG;MA07;000000000003000392;E110;2300
4900564082;2019;2;311;000000000003000392;E110;2300;;S;;305.3;KG;MA07;000000000003000392;E110;2300
4900564082;2019;3;311;000000000003000392;E110;2300;;H;;535.7;KG;MA07;000000000003000392;E110;2300
4900564082;2019;4;311;000000000003000392;E110;2300;;S;;535.7;KG;MA07;000000000003000392;E110;2300
4900564082;2019;5;311;000000000003000392;E110;2300;;H;;135.6;KG;MA07;000000000003000392;E110;2300
4900564082;2019;6;311;000000000003000392;E110;2300;;S;;135.6;KG;MA07;000000000003000392;E110;2300
4900564083;2019;1;351;000000000003000392;E110;2300;;H;;976.6;KG;MAU2;000000000003000392;E210;
4900564085;2019;1;411;000000000001000008;E110;1300;;H;;8400;KG;MA07;000000000001000008;E110;9680
4900564085;2019;2;411;000000000001000008;E110;9680;;S;;8400;KG;MA07;000000000001000008;E110;1300
4900564085;2019;3;411;000000000001000008;E110;1300;;H;;7560;KG;MA07;000000000001000008;E110;9680
4900564085;2019;4;411;000000000001000008;E110;9680;;S;;7560;KG;MA07;000000000001000008;E110;1300
4900564087;2019;1;631;000000000001000008;E110;9680;;H;;8400;KG;MAV4;000000000001000008;E110;
4900564087;2019;2;631;000000000001000008;E110;;W;S;;8400;KG;MAV4;000000000001000008;E110;9680
4900564087;2019;3;631;000000000001000008;E110;9680;;H;;7560;KG;MAV4;000000000001000008;E110;
4900564087;2019;4;631;000000000001000008;E110;;W;S;;7560;KG;MAV4;000000000001000008;E110;9680
4900564093;2019;1;633;000000000001000095;E110;;W;H;;20;KG;MAV1;;;
4900564094;2019;1;633;000000000001000104;E110;;W;H;;30;KG;MAV1;;;
4900564095;2019;1;633;000000000001000096;E110;;W;H;;2;KG;MAV1;;;
4900564096;2019;1;633;000000000002000041;E110;;W;H;;4;KG;MAV1;;;
4900564097;2019;1;633;000000000002000026;E110;;W;H;;25;KG;MAV1;;;
4900564097;2019;2;633;000000000002000026;E110;;W;H;;5;KG;MAV1;;;
4900564098;2019;1;633;000000000001000100;E110;;W;H;;30;KG;MAV1;;;
4900564099;2019;1;633;000000000004000018;E110;;W;H;;12;KG;MAV1;;;
4900564100;2019;2;351;000000000004300001;E110;;;S;;30000;KG;MAU2;000000000004300001;E010;1100
4900564102;2019;6;352;000000000004300003;E110;;;H;;4480;KG;MAU2;000000000004300003;E010;1100
4900564102;2019;8;352;000000000004300010;E110;;;H;;4950;KG;MAU2;000000000004300010;E010;1100
4900564137;2019;1;321;000000000001000039;E110;1300;;H;;14800;KG;MQF7;000000000001000039;E110;1300
4900564137;2019;2;321;000000000001000039;E110;1300;;S;;14800;KG;MQF7;000000000001000039;E110;1300
4900564219;2019;1;321;000000000004000167;E110;1100;;H;;10400;KG;MQF7;000000000004000167;E110;1100
4900564219;2019;2;321;000000000004000167;E110;1100;;S;;10400;KG;MQF7;000000000004000167;E110;1100
4900564225;2019;2;351;000000000004000073;E110;;;S;;18000;KG;MAU2;000000000004000073;E210;1100
4900564226;2019;1;261;000000000004000092;E110;2200;;H;;175;KG;MA01;;;
4900564226;2019;2;261;000000000004000092;E110;2200;;H;;35;KG;MA01;;;
4900564226;2019;3;261;000000000004000007;E110;2100;;H;;150;KG;MA01;;;
4900564226;2019;4;261;000000000004000092;E110;2200;;H;;21;KG;MA01;;;
4900564226;2019;5;261;000000000004000007;E110;2100;;H;;15;KG;MA01;;;
4900564229;2019;1;261;000000000004000198;E110;2100;;H;;14.57;KG;MA01;;;
4900564229;2019;2;261;000000000004000197;E110;2100;;H;;35;KG;MA01;;;
4900564229;2019;3;261;000000000004000092;E110;2200;;H;;294;KG;MA01;;;
4900564229;2019;4;261;000000000004000092;E110;2200;;H;;175;KG;MA01;;;
4900564229;2019;5;261;000000000004000092;E110;2200;;H;;35;KG;MA01;;;
4900564229;2019;6;261;000000000004000092;E110;2200;;H;;294;KG;MA01;;;
4900564229;2019;7;261;000000000004000062;E110;2100;;H;;117;KG;MA01;;;
4900564229;2019;8;261;000000000004000195;E110;2100;;H;;246;KG;MA01;;;
4900564229;2019;9;261;000000000004000195;E110;2100;;H;;10;KG;MA01;;;
4900564229;2019;10;261;000000000006000001;E110;2100;;H;;145;KG;MA01;;;
4900564229;2019;11;261;000000000006000001;E110;2100;;H;;340;KG;MA01;;;
4900564229;2019;12;261;000000000004000043;E110;2100;;H;;905;KG;MA01;;;
4900564229;2019;13;261;000000000004000203;E110;2100;;H;;20.09;KG;MA01;;;
4900564229;2019;14;261;000000000004000195;E110;2100;;H;;32.6;KG;MA01;;;
4900564229;2019;15;261;000000000004000092;E110;2200;;H;;79.8;KG;MA01;;;
4900564229;2019;16;261;000000000004000062;E110;2100;;H;;11.7;KG;MA01;;;
4900564253;2019;1;261;000000000004000007;E110;2100;;H;;300;KG;MA01;;;
4900564253;2019;2;261;000000000004000007;E110;2100;;H;;30;KG;MA01;;;
4900564258;2019;1;261;000000000006000002;E110;2100;;H;;181.4;KG;MA01;;;
4900564258;2019;2;261;000000000006000002;E110;2100;;H;;609.6;KG;MA01;;;
4900564258;2019;3;261;000000000006000002;E110;2100;;H;;20;KG;MA01;;;
4900564258;2019;4;261;000000000006000002;E110;2100;;H;;72.6;KG;MA01;;;
4900564258;2019;5;261;000000000006000002;E110;2100;;H;;72.6;KG;MA01;;;
4900564258;2019;6;261;000000000004000201;E110;2100;;H;;164;KG;MA01;;;
4900564258;2019;7;261;000000000003000366;E110;2300;;H;;32;KG;MA01;;;
4900564258;2019;8;261;000000000004000199;E110;2100;;H;;290.24;KG;MA01;;;
4900564258;2019;9;261;000000000004000199;E110;2100;;H;;127.16;KG;MA01;;;
4900564258;2019;10;261;000000000004000200;E110;2100;;H;;26.42;KG;MA01;;;
4900564258;2019;11;261;000000000004000092;E110;2200;;H;;221.4;KG;MA01;;;
4900564258;2019;12;261;000000000004000092;E110;2200;;H;;221.4;KG;MA01;;;
4900564258;2019;13;261;000000000004000092;E110;2200;;H;;221.4;KG;MA01;;;
4900564258;2019;14;261;000000000004000092;E110;2200;;H;;886.2;KG;MA01;;;
4900564258;2019;15;261;000000000004000084;E110;2100;;H;;243.52;KG;MA01;;;
4900564258;2019;16;261;000000000004000194;E110;2100;;H;;75.4;KG;MA01;;;
4900564258;2019;17;261;000000000003000366;E110;2300;;H;;32;KG;MA01;;;
4900564258;2019;18;261;000000000004000062;E110;2100;;H;;323.79;KG;MA01;;;
4900564258;2019;19;261;000000000004000092;E110;2200;;H;;155;KG;MA01;;;
4900564262;2019;1;321;000000000001000018;E110;1860;;H;;15504;KG;MQF7;000000000001000018;E110;1860
4900564262;2019;2;321;000000000001000018;E110;1860;;S;;15504;KG;MQF7;000000000001000018;E110;1860
4900564265;2019;1;311;000000000004000191;E110;1200;;H;;23990;KG;MA07;000000000004000191;E110;1200
4900564265;2019;2;311;000000000004000191;E110;1200;;S;;23990;KG;MA07;000000000004000191;E110;1200
4900564265;2019;3;311;000000000004000191;E110;1200;;H;;20370;KG;MA07;000000000004000191;E110;1200
4900564265;2019;4;311;000000000004000191;E110;1200;;S;;20370;KG;MA07;000000000004000191;E110;1200
4900564265;2019;5;311;000000000004000191;E110;1200;;H;;73913;KG;MA07;000000000004000191;E110;1200
4900564265;2019;6;311;000000000004000191;E110;1200;;S;;73913;KG;MA07;000000000004000191;E110;1200
4900564266;2019;1;311;000000000004000130;E110;1260;;H;;23300.16;KG;MA07;000000000004000130;E110;1260
4900564266;2019;2;311;000000000004000130;E110;1260;;S;;23300.16;KG;MA07;000000000004000130;E110;1260
4900564266;2019;3;311;000000000004000130;E110;1260;;H;;20420;KG;MA07;000000000004000130;E110;1260
4900564266;2019;4;311;000000000004000130;E110;1260;;S;;20420;KG;MA07;000000000004000130;E110;1260
4900564270;2019;1;321;000000000004000062;E110;2100;;H;;1440;KG;MQF7;000000000004000062;E110;2100
4900564270;2019;2;321;000000000004000062;E110;2100;;S;;1440;KG;MQF7;000000000004000062;E110;2100
4900564271;2019;1;321;000000000004000062;E110;2100;;H;;1440;KG;MQF7;000000000004000062;E110;2100
4900564271;2019;2;321;000000000004000062;E110;2100;;S;;1440;KG;MQF7;000000000004000062;E110;2100
4900564272;2019;1;321;000000000004000062;E110;2100;;H;;2880;KG;MQF7;000000000004000062;E110;2100
4900564272;2019;2;321;000000000004000062;E110;2100;;S;;2880;KG;MQF7;000000000004000062;E110;2100
4900564273;2019;1;261;000000000004000007;E110;2100;;H;;41.026;KG;MA01;;;
4900564273;2019;2;261;000000000004000007;E110;2100;;H;;4;KG;MA01;;;
4900564274;2019;1;261;000000000004000062;E110;2100;;H;;169.847;KG;MA01;;;
4900564274;2019;2;261;000000000004000236;E110;2100;;H;;23.283;KG;MA01;;;
4900564274;2019;3;261;000000000004000237;E110;2100;;H;;0.134;KG;MA01;;;
4900564274;2019;4;261;000000000004000062;E110;2100;;H;;16.9;KG;MA01;;;
4900564275;2019;1;261;000000000004000235;E110;2100;;H;;31.034;KG;MA01;;;
4900564275;2019;2;261;000000000004000235;E110;2100;;H;;2.3;KG;MA01;;;
4900564276;2019;1;261;000000000004000007;E110;2100;;H;;45;KG;MA01;;;
4900564277;2019;1;262;000000000004000235;E110;2100;;S;;31.034;KG;MA01;;;
4900564277;2019;2;262;000000000004000235;E110;2100;;S;;2.3;KG;MA01;;;
4900564278;2019;1;262;000000000004000062;E110;2100;;S;;169.847;KG;MA01;;;
4900564278;2019;2;262;000000000004000236;E110;2100;;S;;23.283;KG;MA01;;;
4900564278;2019;3;262;000000000004000237;E110;2100;;S;;0.134;KG;MA01;;;
4900564278;2019;4;262;000000000004000062;E110;2100;;S;;16.9;KG;MA01;;;
4900564279;2019;1;261;000000000004000062;E110;2100;;H;;169.847;KG;MA01;;;
4900564279;2019;2;261;000000000004000236;E110;2100;;H;;21.1;KG;MA01;;;
4900564279;2019;3;261;000000000004000237;E110;2100;;H;;0.12;KG;MA01;;;
4900564280;2019;1;261;000000000004000235;E110;2100;;H;;2.3;KG;MA01;;;
4900564280;2019;2;261;000000000004000235;E110;2100;;H;;27.7;KG;MA01;;;
4900564281;2019;1;321;000000000001000191;E110;1300;;H;;4000;KG;MQF7;000000000001000191;E110;1300
4900564281;2019;2;321;000000000001000191;E110;1300;;S;;4000;KG;MQF7;000000000001000191;E110;1300
4900564282;2019;1;261;000000000004000062;E110;2100;;H;;169.847;KG;MA01;;;
4900564282;2019;2;261;000000000004000236;E110;2100;;H;;21.1;KG;MA01;;;
4900564282;2019;3;261;000000000004000237;E110;2100;;H;;0.12;KG;MA01;;;
4900564283;2019;1;261;000000000004000235;E110;2100;;H;;30;KG;MA01;;;
4900564284;2019;1;261;000000000004000007;E110;2100;;H;;45;KG;MA01;;;
4900564285;2019;1;261;000000000004000062;E110;2100;;H;;169.847;KG;MA01;;;
4900564285;2019;2;261;000000000004000236;E110;2100;;H;;21.4;KG;MA01;;;
4900564285;2019;3;261;000000000004000237;E110;2100;;H;;0.12;KG;MA01;;;
4900564285;2019;4;261;000000000004000236;E110;2100;;H;;3.5;KG;MA01;;;
4900564286;2019;1;261;000000000004000235;E110;2100;;H;;30;KG;MA01;;;
4900564287;2019;1;261;000000000004000007;E110;2100;;H;;45;KG;MA01;;;
4900564288;2019;1;261;000000000004000062;E110;2100;;H;;169.847;KG;MA01;;;
4900564288;2019;2;261;000000000004000236;E110;2100;;H;;21.2;KG;MA01;;;
4900564288;2019;3;261;000000000004000237;E110;2100;;H;;0.12;KG;MA01;;;
4900564289;2019;1;261;000000000004000235;E110;2100;;H;;30;KG;MA01;;;
4900564295;2019;1;933;000000000001000039;E110;9680;;H;;14800;KG;MA01;;;
4900564303;2019;1;321;000000000001000042;E110;1300;;H;;7400;KG;MQF7;000000000001000042;E110;1300
4900564303;2019;2;321;000000000001000042;E110;1300;;S;;7400;KG;MQF7;000000000001000042;E110;1300
4900564304;2019;1;321;000000000001000186;E110;1300;;H;;718;KG;MQF7;000000000001000186;E110;1300
4900564304;2019;2;321;000000000001000186;E110;1300;;S;;718;KG;MQF7;000000000001000186;E110;1300
4900564305;2019;1;261;000000000004000024;E110;2100;;H;;16.322;KG;MA01;;;
4900564305;2019;2;261;000000000004000165;E110;2100;;H;;10;KG;MA01;;;
4900564305;2019;3;261;000000000004000017;E110;2100;;H;;13.318;KG;MA01;;;
4900564305;2019;4;261;000000000004000136;E110;2100;;H;;0.226;KG;MA01;;;
4900564306;2019;1;261;000000000004000083;E110;2100;;H;;37.8;KG;MA01;;;
4900564306;2019;2;261;000000000004000083;E110;2100;;H;;37.8;KG;MA01;;;
4900564307;2019;1;261;000000000004000024;E110;2100;;H;;16.322;KG;MA01;;;
4900564307;2019;2;261;000000000004000165;E110;2100;;H;;10;KG;MA01;;;
4900564307;2019;3;261;000000000004000017;E110;2100;;H;;12.452;KG;MA01;;;
4900564307;2019;4;261;000000000004000136;E110;2100;;H;;0.226;KG;MA01;;;
4900564307;2019;5;261;000000000004000017;E110;2100;;H;;0.866;KG;MA01;;;
4900564308;2019;1;261;000000000004000083;E110;2100;;H;;37.8;KG;MA01;;;
4900564308;2019;2;261;000000000004000083;E110;2100;;H;;37.8;KG;MA01;;;
4900564323;2019;1;261;000000000004000024;E110;2100;;H;;16.322;KG;MA01;;;
4900564323;2019;2;261;000000000004000165;E110;2100;;H;;10;KG;MA01;;;
4900564323;2019;3;261;000000000004000017;E110;2100;;H;;10.754;KG;MA01;;;
4900564323;2019;4;261;000000000004000136;E110;2100;;H;;0.226;KG;MA01;;;
4900564323;2019;5;261;000000000004000017;E110;2100;;H;;2.564;KG;MA01;;;
4900564324;2019;1;261;000000000004000083;E110;2100;;H;;37.8;KG;MA01;;;
4900564324;2019;2;261;000000000004000083;E110;2100;;H;;37.8;KG;MA01;;;
4900564325;2019;1;261;000000000004000007;E110;2100;;H;;151.273;KG;MA01;;;
4900564325;2019;2;261;000000000004000007;E110;2100;;H;;15;KG;MA01;;;
4900564326;2019;1;261;000000000003000377;E110;2300;;H;;40;KG;MA01;;;
4900564326;2019;2;261;000000000004000158;E110;2100;;H;;42.697;KG;MA01;;;
4900564326;2019;3;261;000000000004000003;E110;2100;;H;;0.443;KG;MA01;;;
4900564326;2019;4;261;000000000004000158;E110;2100;;H;;37.118;KG;MA01;;;
4900564326;2019;5;261;000000000003000377;E110;2300;;H;;40;KG;MA01;;;
4900564326;2019;6;261;000000000003000377;E110;2300;;H;;40;KG;MA01;;;
4900564326;2019;7;261;000000000003000377;E110;2300;;H;;40;KG;MA01;;;
4900564327;2019;1;261;000000000004000101;E110;2100;;H;;75.59;KG;MA01;;;
4900564328;2019;1;261;000000000004000106;E110;2100;;H;;21.06;KG;MA01;;;
4900564329;2019;1;261;000000000004000092;E110;2200;;H;;147.491;KG;MA01;;;
4900564329;2019;2;261;000000000004000092;E110;2200;;H;;14;KG;MA01;;;
4900564330;2019;1;261;000000000004000092;E110;2200;;H;;147.491;KG;MA01;;;
4900564330;2019;2;261;000000000004000092;E110;2200;;H;;442.473;KG;MA01;;;
4900564330;2019;3;261;000000000004000092;E110;2200;;H;;73.746;KG;MA01;;;
